"feature_set","fold","validation_year","n_train_rows","n_validation_rows","train_year_min","train_year_max"
"factors",1,2017,332,68,2012,2016
"factors",2,2018,400,69,2012,2017
"factors",3,2019,469,69,2012,2018
"factors",4,2020,538,70,2012,2019
"factors",5,2022,608,70,2012,2020
"factors",6,2023,678,69,2012,2022
"factors",7,2024,747,70,2012,2023
"factors",8,2025,817,70,2012,2024
"factors_plus_prior",1,2017,332,68,2012,2016
"factors_plus_prior",2,2018,400,69,2012,2017
"factors_plus_prior",3,2019,469,69,2012,2018
"factors_plus_prior",4,2020,538,70,2012,2019
"factors_plus_prior",5,2023,608,69,2012,2020
"factors_plus_prior",6,2024,677,70,2012,2023
"factors_plus_prior",7,2025,747,70,2012,2024
"prior_only",1,2017,332,68,2012,2016
"prior_only",2,2018,400,69,2012,2017
"prior_only",3,2019,469,69,2012,2018
"prior_only",4,2020,538,70,2012,2019
"prior_only",5,2023,608,69,2012,2020
"prior_only",6,2024,677,70,2012,2023
"prior_only",7,2025,747,70,2012,2024
