"feature_set","fold","validation_year","variable","permutation_importance","selected_mtry","oob_mse"
"factors",1,2017,"control_state_florida",2.6792892969789,20,248.99822473173
"factors",1,2017,"control_time_index",1.54543677963162,20,248.99822473173
"factors",1,2017,"coc_log_estimated_population",12.6819763368268,20,248.99822473173
"factors",1,2017,"coc_population_density_per_sq_mile",7.04712299182872,20,248.99822473173
"factors",1,2017,"coc_contributing_counties",2.25813721142137,20,248.99822473173
"factors",1,2017,"coc_contains_split_county_flag",2.1605860552347,20,248.99822473173
"factors",1,2017,"coc_housing_units_per_1000_residents",5.82282791586482,20,248.99822473173
"factors",1,2017,"coc_permits_per_1000_housing_units",3.1931814967466,20,248.99822473173
"factors",1,2017,"coc_multifamily_permit_share_pct",1.76913506763563,20,248.99822473173
"factors",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd",2.21999655980049,20,248.99822473173
"factors",1,2017,"coc_birth_rate_per_1000",6.70188492825615,20,248.99822473173
"factors",1,2017,"coc_death_rate_per_1000",7.84380610426056,20,248.99822473173
"factors",1,2017,"coc_international_migration_rate_per_1000",8.1211885549116,20,248.99822473173
"factors",1,2017,"coc_domestic_migration_rate_per_1000",2.26608311497098,20,248.99822473173
"factors",1,2017,"coc_group_quarters_per_1000_residents",6.88565609412468,20,248.99822473173
"factors",1,2017,"coc_population_growth_rate_pct",2.7242511543001,20,248.99822473173
"factors",1,2017,"coc_housing_supply_growth_rate_pct",2.33886953439644,20,248.99822473173
"factors",1,2017,"coc_poverty_all_pct",4.36669867230017,20,248.99822473173
"factors",1,2017,"coc_poverty_child_pct",6.52239385895787,20,248.99822473173
"factors",1,2017,"coc_real_median_household_income_2025_usd",6.48640048446705,20,248.99822473173
"factors",1,2017,"coc_real_per_capita_personal_income_2025_usd",6.7592165884281,20,248.99822473173
"factors",1,2017,"coc_unemployment_rate_pct",3.59261344121298,20,248.99822473173
"factors",1,2017,"coc_high_school_graduate_pct",8.23854696782077,20,248.99822473173
"factors",1,2017,"coc_homeownership_rate_pct",8.9310152937006,20,248.99822473173
"factors",1,2017,"coc_housing_cost_burdened_households_pct",4.09676029515847,20,248.99822473173
"factors",1,2017,"coc_income_inequality_ratio",5.2230105987427,20,248.99822473173
"factors",1,2017,"coc_annual_hpi_change_pct",1.59483549068498,20,248.99822473173
"factors",1,2017,"coc_real_gdp_per_capita_2017_usd",10.6732353617187,20,248.99822473173
"factors",1,2017,"coc_real_gdp_quantity_index",3.85739790272911,20,248.99822473173
"factors",1,2017,"coc_relative_home_price_index_2000_base",3.78668276002954,20,248.99822473173
"factors",1,2017,"state_real_minimum_wage_2025_usd",3.96325644368626,20,248.99822473173
"factors",1,2017,"state_medicaid_expansion",-0.466119590149747,20,248.99822473173
