"feature_set","model","validation_year","n","rmse","mae","r2"
"factors","decision_tree",2017,68,17.6491953062299,13.6687201787841,0.432241654671448
"factors_plus_prior","decision_tree",2017,68,11.4263209425921,7.02518438933784,0.762027624885712
"prior_only","decision_tree",2017,68,11.0541104561515,6.94900730851007,0.777278928049907
"factors","random_forest",2017,68,12.8745881905473,9.59511811092749,0.697879356239585
"factors_plus_prior","random_forest",2017,68,10.4524563512115,6.6006145177596,0.800863699935068
"prior_only","random_forest",2017,68,13.3854768658247,8.21237691437295,0.673426151617249
"factors","decision_tree",2018,69,22.1433075078762,15.2579448933811,0.2072493647274
"factors_plus_prior","decision_tree",2018,69,10.7172683237361,6.46655768927521,0.81429661313272
"prior_only","decision_tree",2018,69,10.4119637002983,5.48461486262633,0.82472623852047
"factors","random_forest",2018,69,13.1662938596405,8.63979545062755,0.719728650825093
"factors_plus_prior","random_forest",2018,69,9.5498496519664,5.18446723748852,0.852550031214697
"prior_only","random_forest",2018,69,11.9517505835291,6.40186234081743,0.7690517588074
"factors","decision_tree",2019,69,20.8153417098567,14.963304703404,0.256593606229347
"factors_plus_prior","decision_tree",2019,69,12.5787595670014,7.35045208122659,0.728521879094434
"prior_only","decision_tree",2019,69,13.8430224244964,7.44802811850728,0.671208147387238
"factors","random_forest",2019,69,14.4189518842823,10.0221871679902,0.643280715985455
"factors_plus_prior","random_forest",2019,69,13.1383114997005,8.04767134274564,0.703831878090825
"prior_only","random_forest",2019,69,13.9164248878252,7.964050866125,0.667712073099812
"factors","decision_tree",2020,70,16.4056863124751,12.7589486280479,0.514384747517128
"factors_plus_prior","decision_tree",2020,70,8.47621262063654,5.13928181799435,0.870369499858508
"prior_only","decision_tree",2020,70,5.49731178282098,3.77983416647636,0.945473923311346
"factors","random_forest",2020,70,10.4385041693016,7.19310410764749,0.803401567748318
"factors_plus_prior","random_forest",2020,70,8.34976464643079,5.00593540596503,0.87420830162589
"prior_only","random_forest",2020,70,9.31579023954755,5.45839951919443,0.843417611140775
"factors","decision_tree",2022,70,17.5035245154084,14.3160444509747,0.498846754519901
"factors","random_forest",2022,70,11.2311667091904,9.04812622389739,0.793666720828104
"factors","decision_tree",2023,69,18.1811891039974,10.5124437293583,0.414561928645742
"factors_plus_prior","decision_tree",2023,69,6.26726558367203,4.19290916158973,0.930434711387816
"prior_only","decision_tree",2023,69,6.66271692178396,4.54483634638447,0.92137889975771
"factors","random_forest",2023,69,9.00670409909692,6.04317817172236,0.856329308080783
"factors_plus_prior","random_forest",2023,69,6.99306524635738,4.55648907317025,0.913389298918542
"prior_only","random_forest",2023,69,10.7254144594419,6.36647658266588,0.796265508114282
"factors","decision_tree",2024,70,14.5630869091815,10.0580904189644,0.667501160937418
"factors_plus_prior","decision_tree",2024,70,10.2836948438253,6.30744624985964,0.83420111228545
"prior_only","decision_tree",2024,70,9.33262697897844,6.17979103341035,0.863450200771032
"factors","random_forest",2024,70,8.77265403463864,6.32334217571373,0.879345018963953
"factors_plus_prior","random_forest",2024,70,7.16735349396852,4.6314760866648,0.919461989069611
"prior_only","random_forest",2024,70,9.0906642466524,6.0263378612524,0.870438941803655
"factors","decision_tree",2025,70,13.5164742747203,9.64290229891392,0.697040094769863
"factors_plus_prior","decision_tree",2025,70,8.56438363922141,5.68339424564129,0.878367246527642
"prior_only","decision_tree",2025,70,5.86346013099883,4.04376211375634,0.94298800152133
"factors","random_forest",2025,70,8.82296799275215,7.42543003756453,0.870911450950708
"factors_plus_prior","random_forest",2025,70,6.27336669045678,4.37614055132324,0.934738108155405
"prior_only","random_forest",2025,70,7.35231062408928,4.8971098120172,0.910359141735974
