"feature_set","model","state","n","rmse","mae","r2"
"factors","decision_tree","California",347,20.0593029736443,14.5606873843051,0.311856520967622
"factors_plus_prior","decision_tree","California",303,10.8163551714236,7.20743682057697,0.801148044727882
"prior_only","decision_tree","California",303,10.2161391405219,6.59509829942248,0.822604914103758
"factors","random_forest","California",347,12.3527584892175,8.86634002916117,0.739039230719101
"factors_plus_prior","random_forest","California",303,10.0233069228492,6.4847229415875,0.829238467121543
"prior_only","random_forest","California",303,12.6379745060609,8.12628120702152,0.728529316445628
"factors","decision_tree","Florida",208,13.1586469652934,9.43201103408844,-0.00188442855212312
"factors_plus_prior","decision_tree","Florida",182,8.30352450849951,4.04204478076449,0.61764455138312
"prior_only","decision_tree","Florida",182,7.79890133534976,3.6285763615793,0.662705552644176
"factors","random_forest","Florida",208,9.17770141010149,6.6336745869963,0.512625273650688
"factors_plus_prior","random_forest","Florida",182,7.33668795892512,3.8040367421333,0.701501305494689
"prior_only","random_forest","Florida",182,7.6277580104002,3.70023419453458,0.677346669072492
