"feature_set","fold","validation_year","model","tuning_parameter","parameter_value","inner_rmse","n_inner_splits","selected"
"factors",1,2017,"decision_tree","cp",0,21.4206741502806,3,FALSE
"factors",1,2017,"decision_tree","cp",0.001,21.4206741502806,3,FALSE
"factors",1,2017,"decision_tree","cp",0.002,21.4206741502806,3,FALSE
"factors",1,2017,"decision_tree","cp",0.005,21.4206741502806,3,FALSE
"factors",1,2017,"decision_tree","cp",0.01,21.5035478489604,3,FALSE
"factors",1,2017,"decision_tree","cp",0.02,21.6116191425639,3,FALSE
"factors",1,2017,"decision_tree","cp",0.04,21.3824203566371,3,TRUE
"factors",1,2017,"random_forest","mtry",1,18.4897467409586,3,FALSE
"factors",1,2017,"random_forest","mtry",7,14.4804559350637,3,FALSE
"factors",1,2017,"random_forest","mtry",13,14.7259748781263,3,FALSE
"factors",1,2017,"random_forest","mtry",20,14.3124956026008,3,TRUE
"factors",1,2017,"random_forest","mtry",27,14.8198810796645,3,FALSE
"factors",1,2017,"random_forest","mtry",40,14.7913996667678,3,FALSE
"factors",2,2018,"decision_tree","cp",0,20.4565604745382,4,FALSE
"factors",2,2018,"decision_tree","cp",0.001,20.4565604745382,4,FALSE
"factors",2,2018,"decision_tree","cp",0.002,20.4565604745382,4,FALSE
"factors",2,2018,"decision_tree","cp",0.005,20.4565604745382,4,FALSE
"factors",2,2018,"decision_tree","cp",0.01,20.518715748548,4,FALSE
"factors",2,2018,"decision_tree","cp",0.02,20.8129450458012,4,FALSE
"factors",2,2018,"decision_tree","cp",0.04,20.4491140940353,4,TRUE
"factors",2,2018,"random_forest","mtry",1,18.2421739131989,4,FALSE
"factors",2,2018,"random_forest","mtry",7,14.2730285631116,4,FALSE
"factors",2,2018,"random_forest","mtry",13,13.8073888386692,4,TRUE
"factors",2,2018,"random_forest","mtry",20,14.3763220714828,4,FALSE
"factors",2,2018,"random_forest","mtry",27,14.0444107409563,4,FALSE
"factors",2,2018,"random_forest","mtry",40,14.5226566585419,4,FALSE
"factors",3,2019,"decision_tree","cp",0,20.908198766483,5,FALSE
"factors",3,2019,"decision_tree","cp",0.001,20.908198766483,5,FALSE
"factors",3,2019,"decision_tree","cp",0.002,20.908198766483,5,FALSE
"factors",3,2019,"decision_tree","cp",0.005,20.908198766483,5,FALSE
"factors",3,2019,"decision_tree","cp",0.01,20.9579229856909,5,FALSE
"factors",3,2019,"decision_tree","cp",0.02,21.2907428024523,5,FALSE
"factors",3,2019,"decision_tree","cp",0.04,20.7879527768035,5,TRUE
"factors",3,2019,"random_forest","mtry",1,17.6854170367403,5,FALSE
"factors",3,2019,"random_forest","mtry",7,14.1307845015869,5,FALSE
"factors",3,2019,"random_forest","mtry",13,13.9098887579451,5,FALSE
"factors",3,2019,"random_forest","mtry",20,13.8316548679596,5,TRUE
"factors",3,2019,"random_forest","mtry",27,14.0410973185412,5,FALSE
"factors",3,2019,"random_forest","mtry",40,14.5881864979123,5,FALSE
"factors",4,2020,"decision_tree","cp",0,21.1309407257881,6,FALSE
"factors",4,2020,"decision_tree","cp",0.001,21.1309407257881,6,FALSE
"factors",4,2020,"decision_tree","cp",0.002,21.1309407257881,6,FALSE
"factors",4,2020,"decision_tree","cp",0.005,21.1309407257881,6,FALSE
"factors",4,2020,"decision_tree","cp",0.01,21.172377575128,6,FALSE
"factors",4,2020,"decision_tree","cp",0.02,21.4576413604058,6,FALSE
"factors",4,2020,"decision_tree","cp",0.04,20.792517598979,6,TRUE
"factors",4,2020,"random_forest","mtry",1,17.4010907524026,6,FALSE
"factors",4,2020,"random_forest","mtry",7,14.1219293027733,6,FALSE
"factors",4,2020,"random_forest","mtry",13,14.0318907437742,6,TRUE
"factors",4,2020,"random_forest","mtry",20,14.0701166918559,6,FALSE
"factors",4,2020,"random_forest","mtry",27,14.2835346547494,6,FALSE
"factors",4,2020,"random_forest","mtry",40,14.6604549158211,6,FALSE
"factors",5,2022,"decision_tree","cp",0,20.3990506058826,7,FALSE
"factors",5,2022,"decision_tree","cp",0.001,20.3990506058826,7,FALSE
"factors",5,2022,"decision_tree","cp",0.002,20.3990506058826,7,FALSE
"factors",5,2022,"decision_tree","cp",0.005,20.3990506058826,7,FALSE
"factors",5,2022,"decision_tree","cp",0.01,20.4345679053168,7,FALSE
"factors",5,2022,"decision_tree","cp",0.02,20.7656396760671,7,FALSE
"factors",5,2022,"decision_tree","cp",0.04,20.1658274151928,7,TRUE
"factors",5,2022,"random_forest","mtry",1,17.0467363727979,7,FALSE
"factors",5,2022,"random_forest","mtry",7,13.4534339650433,7,TRUE
"factors",5,2022,"random_forest","mtry",13,13.4569527293258,7,FALSE
"factors",5,2022,"random_forest","mtry",20,13.6183597583906,7,FALSE
"factors",5,2022,"random_forest","mtry",27,13.636242618454,7,FALSE
"factors",5,2022,"random_forest","mtry",40,13.9397142480639,7,FALSE
"factors",6,2023,"decision_tree","cp",0,19.7375868837873,8,TRUE
"factors",6,2023,"decision_tree","cp",0.001,19.7375868837873,8,FALSE
"factors",6,2023,"decision_tree","cp",0.002,19.7496115169759,8,FALSE
"factors",6,2023,"decision_tree","cp",0.005,19.7457370536947,8,FALSE
"factors",6,2023,"decision_tree","cp",0.01,19.7697120204635,8,FALSE
"factors",6,2023,"decision_tree","cp",0.02,20.298904973489,8,FALSE
"factors",6,2023,"decision_tree","cp",0.04,19.8330395527197,8,FALSE
"factors",6,2023,"random_forest","mtry",1,16.6493426207819,8,FALSE
"factors",6,2023,"random_forest","mtry",7,13.2178762350977,8,FALSE
"factors",6,2023,"random_forest","mtry",13,12.9200933532526,8,TRUE
"factors",6,2023,"random_forest","mtry",20,13.1132553041575,8,FALSE
"factors",6,2023,"random_forest","mtry",27,13.5900054581976,8,FALSE
"factors",6,2023,"random_forest","mtry",40,13.4869136867585,8,FALSE
"factors",7,2024,"decision_tree","cp",0,19.564653797144,9,TRUE
