"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
260117281,"ASST_NON_CA1994T9T082100_086","CA1994T9T082100","HOUSING MATTERS","CA","2023-01-05","2023-01-05230050045734",159911
260117468,"ASST_NON_CA2025L9D002100_086","CA2025L9D002100","LOS ANGELES HOMELESS SERVICES AUTHORITY","CA","2023-01-10","2023-01-10230100045869",1250000
260117273,"ASST_NON_CA1991L9T072100_086","CA1991L9T072100","COUNTY OF MARIN","CA","2023-01-12","2023-01-12230120051826",149124
260117415,"ASST_NON_CA2013T9T202100_086","CA2013T9T202100","MERCED COUNTY COMMUNITY ACTION BOARD","CA","2023-01-18","2023-01-18230180035672",36022
260117457,"ASST_NON_CA2016L9T232100_086","CA2016L9T232100","COUNTY OF GLENN","CA","2023-01-19","2023-01-19230190035292",7900
260117330,"ASST_NON_CA2008L9T172100_086","CA2008L9T172100","COUNTY OF NAPA","CA","2023-01-19","2023-01-19230190035288",25311
260117147,"ASST_NON_CA1913L9T082102_086","CA1913L9T082102","WALNUT AVENUE FAMILY & WOMEN'S CENTER","CA","2023-01-20","2023-01-20230200036176",154055
260014261,"ASST_NON_CA0026L9T002013_086","CA0026L9T002013","ABODE SERVICES","CA","2023-01-25","2023-01-25230250037234",-71811
260066702,"ASST_NON_CA0950L9T001907_086","CA0950L9T001907","ABODE SERVICES","CA","2023-01-25","2023-01-25230250036808",-162827
260117429,"ASST_NON_CA2014L9T202100_086","CA2014L9T202100","COUNTY OF MERCED","CA","2023-01-31","2023-01-31230310055200",34260
260117288,"ASST_NON_CA1996L9T082100_086","CA1996L9T082100","COUNTY OF SANTA CRUZ","CA","2023-01-31","2023-01-31230310055196",143649
260011825,"ASST_NON_CA0003L9T002011_086","CA0003L9T002011","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033278",-350737
260084671,"ASST_NON_CA1528L9T002004_086","CA1528L9T002004","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033273",-283664
260012286,"ASST_NON_CA0014L9T002013_086","CA0014L9T002013","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033284",-629160
260078324,"ASST_NON_CA1274L9T002006_086","CA1274L9T002006","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033302",-292955
260060988,"ASST_NON_CA0825L9T002008_086","CA0825L9T002008","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033290",-371776
260069636,"ASST_NON_CA1059L9T002008_086","CA1059L9T002008","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033296",-64533
260081157,"ASST_NON_CA1384L9T002004_086","CA1384L9T002004","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033308",-221638
260084653,"ASST_NON_CA1526L9T002003_086","CA1526L9T002003","SANTA CLARA, COUNTY OF","CA","2023-02-14","2023-02-14230450033267",-70691
260117467,"ASST_NON_CA2024L9T312100_086","CA2024L9T312100","HOMELESS RESOURCE COUNCIL OF THE SIERRAS","CA","2023-02-17","2023-02-17230480041122",9476
260117649,"ASST_NON_CA2061L9D122100_086","CA2061L9D122100","CITY OF GLENDALE","CA","2023-02-24","2023-02-24230550039817",79840
260117458,"ASST_NON_CA2017L9T242100_086","CA2017L9T242100","SUTTER YUBA HOMELESS CONSORTIUM","CA","2023-03-15","2023-03-15230740035901",18071
260117403,"ASST_NON_CA2012L9T192100_086","CA2012L9T192100","BUTTE, COUNTY OF","CA","2023-04-24","2023-04-24231140105726",22248
260035466,"ASST_NON_CA0308L9T212114_086","CA0308L9T212114","YOLO COMMUNITY CARE CONTINUUM","CA","2023-05-01","2023-05-01231210092732",181468
260093340,"ASST_NON_CA1671L9T182205_086","CA1671L9T182205","CHANGE AND NEW BEGINNINGS","CA","2023-05-18","2023-05-18231380053380",44891
260070649,"ASST_NON_CA1070L9T052211_086","CA1070L9T052211","COUNTY OF CONTRA COSTA","CA","2023-05-18","2023-05-18231380052710",175596
260117250,"ASST_NON_CA1983L9T042201_086","CA1983L9T042201","THE SOCIETY OF ST VINCENT DE PAUL DISTRICT COUNCIL OF SONOMA COUNTY","CA","2023-05-18","2023-05-18231380052443",303360
260068361,"ASST_NON_CA1034L9T062212_086","CA1034L9T062212","COMMUNITY HUMAN SERVICES","CA","2023-05-18","2023-05-18231380052884",130574
260093227,"ASST_NON_CA1633L9T132206_086","CA1633L9T132206","KINGS COMMUNITY ACTION ORGANIZATION, INCORPORATED","CA","2023-05-18","2023-05-18231380053335",111581
260095179,"ASST_NON_CA1692L9D012205_086","CA1692L9D012205","VIETNAM VETERANS OF SAN DIEGO","CA","2023-05-18","2023-05-18231380057664",212792
260021795,"ASST_NON_CA0091L9T022215_086","CA0091L9T022215","BONITA HOUSE, INC.","CA","2023-05-18","2023-05-18231380053690",41933
260081707,"ASST_NON_CA1434L9D012207_086","CA1434L9D012207","VIETNAM VETERANS OF SAN DIEGO","CA","2023-05-18","2023-05-18231380057184",267314
260081009,"ASST_NON_CA1370L9D092208_086","CA1370L9D092208","INLAND VALLEY COUNCIL OF CHURCHES","CA","2023-05-18","2023-05-18231380057229",170621
260067703,"ASST_NON_CA1002L9D022210_086","CA1002L9D022210","AMERICAN FAMILY HOUSING","CA","2023-05-18","2023-05-18231380057904",593107
260074448,"ASST_NON_CA1183L9T132209_086","CA1183L9T132209","KINGS COMMUNITY ACTION ORGANIZATION, INCORPORATED","CA","2023-05-18","2023-05-18231380052462",86896
260117020,"ASST_NON_CA1861L9T182203_086","CA1861L9T182203","SHELTER, INC.","CA","2023-05-18","2023-05-18231380052688",159914
260116908,"ASST_NON_CA1809L9D112203_086","CA1809L9D112203","THE SALVATION ARMY","CA","2023-05-18","2023-05-18231380057781",158048
260079778,"ASST_NON_CA1328L9T182208_086","CA1328L9T182208","CHANGE AND NEW BEGINNINGS","CA","2023-05-18","2023-05-18231380053382",148374
260084644,"ASST_NON_CA1521L9D112207_086","CA1521L9D112207","COUNTY OF VENTURA","CA","2023-05-18","2023-05-18231380057175",402631
