"source","state","year","n_historical_cocs","n_matched_fy2024","n_unmatched_fy2024","unmatched_codes","n_fy2024_state_total","n_fy2024_present","n_fy2024_absent","fy2024_absent_codes"
"HIC","CA",2010,43,40,3,"CA-528;CA-605;CA-610",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"HIC","CA",2011,42,40,2,"CA-528;CA-605",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"HIC","CA",2012,42,40,2,"CA-528;CA-605",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"HIC","CA",2013,41,40,1,"CA-605",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"HIC","CA",2014,40,40,0,"",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"HIC","CA",2015,43,42,1,"CA-615",44,42,2,"CA-530;CA-531"
"HIC","CA",2016,43,42,1,"CA-615",44,42,2,"CA-530;CA-531"
"HIC","CA",2017,43,43,0,"",44,43,1,"CA-531"
"HIC","CA",2018,43,43,0,"",44,43,1,"CA-531"
"HIC","CA",2019,44,44,0,"",44,44,0,""
"HIC","CA",2020,44,44,0,"",44,44,0,""
"HIC","CA",2021,44,44,0,"",44,44,0,""
"HIC","CA",2022,44,44,0,"",44,44,0,""
"HIC","CA",2023,44,44,0,"",44,44,0,""
"HIC","CA",2024,44,44,0,"",44,44,0,""
"HIC","CA",2025,44,44,0,"",44,44,0,""
"HIC","FL",2010,28,27,1,"FL-516",27,27,0,""
"HIC","FL",2011,28,27,1,"FL-516",27,27,0,""
"HIC","FL",2012,28,27,1,"FL-516",27,27,0,""
"HIC","FL",2013,28,27,1,"FL-516",27,27,0,""
"HIC","FL",2014,28,27,1,"FL-516",27,27,0,""
"HIC","FL",2015,27,27,0,"",27,27,0,""
"HIC","FL",2016,27,27,0,"",27,27,0,""
"HIC","FL",2017,27,27,0,"",27,27,0,""
"HIC","FL",2018,27,27,0,"",27,27,0,""
"HIC","FL",2019,27,27,0,"",27,27,0,""
"HIC","FL",2020,27,27,0,"",27,27,0,""
"HIC","FL",2021,27,27,0,"",27,27,0,""
"HIC","FL",2022,27,27,0,"",27,27,0,""
"HIC","FL",2023,27,27,0,"",27,27,0,""
"HIC","FL",2024,27,27,0,"",27,27,0,""
"HIC","FL",2025,27,27,0,"",27,27,0,""
"PIT","CA",2010,41,40,1,"CA-528",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"PIT","CA",2011,41,40,1,"CA-528",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"PIT","CA",2012,41,40,1,"CA-528",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"PIT","CA",2013,40,40,0,"",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"PIT","CA",2014,40,40,0,"",44,40,4,"CA-527;CA-529;CA-530;CA-531"
"PIT","CA",2015,43,43,0,"",44,43,1,"CA-531"
"PIT","CA",2016,43,43,0,"",44,43,1,"CA-531"
"PIT","CA",2017,43,43,0,"",44,43,1,"CA-531"
"PIT","CA",2018,43,43,0,"",44,43,1,"CA-531"
"PIT","CA",2019,44,44,0,"",44,44,0,""
"PIT","CA",2020,44,44,0,"",44,44,0,""
"PIT","CA",2021,44,44,0,"",44,44,0,""
"PIT","CA",2022,44,44,0,"",44,44,0,""
"PIT","CA",2023,44,44,0,"",44,44,0,""
"PIT","CA",2024,44,44,0,"",44,44,0,""
"PIT","CA",2025,44,44,0,"",44,44,0,""
"PIT","FL",2010,27,27,0,"",27,27,0,""
"PIT","FL",2011,27,27,0,"",27,27,0,""
"PIT","FL",2012,27,27,0,"",27,27,0,""
"PIT","FL",2013,27,27,0,"",27,27,0,""
"PIT","FL",2014,27,27,0,"",27,27,0,""
"PIT","FL",2015,27,27,0,"",27,27,0,""
"PIT","FL",2016,27,27,0,"",27,27,0,""
"PIT","FL",2017,27,27,0,"",27,27,0,""
"PIT","FL",2018,27,27,0,"",27,27,0,""
"PIT","FL",2019,27,27,0,"",27,27,0,""
"PIT","FL",2020,27,27,0,"",27,27,0,""
"PIT","FL",2021,27,27,0,"",27,27,0,""
"PIT","FL",2022,27,27,0,"",27,27,0,""
"PIT","FL",2023,27,27,0,"",27,27,0,""
"PIT","FL",2024,27,27,0,"",27,27,0,""
"PIT","FL",2025,27,27,0,"",27,27,0,""
