"year","award_rows","award_obligation","transaction_rows","transaction_deobligation_rows","transaction_federal_action_obligation","difference_txn_minus_award"
2013,1186,311698333.55,1361,142,334649457,22951123.4499998
2014,1154,302628539.16,1366,66,347892462.84,45263923.6800002
2015,1275,327253789.74,2467,620,379164547.11,51910757.3700004
2016,1095,325165393.92,1696,531,353189586.71,28024192.7900003
2017,1168,347811351.8,2122,797,408297364.63,60486012.8300003
2018,1117,383449561.44,1677,515,387913550.84,4463989.3999998
2019,1050,438561946.79,1763,663,479686114.72,41124167.93
2020,962,436393871.76,1883,846,462987422.52,26593550.7599999
2021,995,474757103.42,1307,239,564892369.12,90135265.6999995
2022,1009,536028740.600001,2272,1262,465657300.37,-70371440.2300012
2023,974,626387298.91,1209,130,713624220.29,87236921.3799998
2024,993,737995007.68,2262,1229,562527574.92,-175467432.76
2025,961,796958404,1654,645,758351416.38,-38606987.6200002
2026,139,143065219,NA,NA,0,-143065219
