,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_rate_per_10k,shelter_beds_per_10k,psh_beds_per_10k,state_homeless_funding_musd,state_homeless_funding_per_capita,anticamping_strictness,medicaid_expansion,tanf_max_benefit_3person,ssi_state_supplement,minimum_wage,personal_income_per_capita,median_household_income,poverty_rate,labor_force_participation,unemployment_rate,substance_use_disorder_rate,serious_mental_illness_rate,uninsured_rate,high_school_graduation_rate,average_student_debt_per_borrower,avrg_in-state_tution,state_population,population_density,population_growth_rate_pct,pct_age_18_24,pct_age_65plus,avg_household_size,avg_temp_f,precip_in,cooling_degree_days,median_rent,median_home_price,rent_as_pct_income,rental_vacancy_rate,homeownership_rate,housing_units_per_capita,new_housing_permits,housing_supply_growth_rate,eviction_filing_rate
California 2010,123480,50899,72581,33.09,13.473,10.657,0,0,1,0,694,171,$8.00,"$43,137.00","$54,280.00",15.8,64.17,12.3,8.50%,3.50%,18.50%,75.00%,"$18,500","$7,700",37319550,239.8,,10.6,11.4,2.94,58.7,22.26,961,1147,255500,41.4,7.5,56.1,,43242,,4
California 2011,125128,50691,74437,33.25,13.194,11.3,0,0,1,0,638,171,$8.00,"$45,508.00","$53,370.00",16.6,63.39,11.7,8.60%,3.50%,18.00%,76.00%,"$19,000","$8,100",37636311,242,0.92,10.6,11.7,2.96,57.7,25.98,703,1255,244833,45.03,6.1,55.3,,45207,,3.85
California 2012,120098,45890,74208,31.65,12.424,13.192,0,0,1,0,638,160.72,$8.00,"$47,793.00","$57,020.00",17,63.05,10.4,8.70%,3.50%,17.50%,77.00%,"$19,500","$8,500",37944551,244.2,0.93,10.6,12.1,2.97,57.5,20.63,778,1255,267500,45.03,5.2,54.5,,57491,,3.36
California 2013,118552,45554,72998,30.99,11.728,10.883,0,0,1,0,638,160.72,$8.00,"$48,074.00","$60,790.00",16.8,62.71,9,8.80%,3.60%,17.20%,78.00%,"$20,000","$8,900",38253768,246.1,0.77,10.5,12.5,2.97,59.1,21.52,1015,1255,348333,45.03,5.1,54.3,,77630,,3.04
California 2014,113952,42515,71437,29.53,11.412,11.812,20,0.52,1,1,670,160.72,$9.00,"$50,617.00","$60,490.00",16.4,62.34,7.6,8.90%,3.60%,12.00%,79.00%,"$20,500","$9,200",38586706,249.1,1.23,10.3,12.9,2.98,60,7.28,973,1255,380667,45.03,4.5,54.2,,82603,,2.88
California 2015,115738,42039,73699,29.75,11.806,12.909,35,0.9,1,1,704,160.72,$9.00,"$53,816.00","$63,640.00",15.4,62.17,6.2,9.00%,3.60%,10.40%,80.00%,"$21,000","$9,500",38904296,251.3,0.88,10.1,13.3,2.97,61.3,20.01,1168,1255,402666.5,45.03,4.1,54.3,,97611,,2.66
California 2016,118142,39752,78390,30.18,10.818,14.411,60,1.53,1,1,704,160.72,$10.00,"$55,862.00","$66,640.00",14.4,62.23,5.5,9.10%,3.60%,8.50%,81.00%,"$21,500","$9,800",39149186,252,0.27,9.8,13.6,2.97,60.4,20.78,1152,1503,425458.5,42.99,3.6,53.8,,100629,,2.48
California 2017,131532,42636,88896,33.44,11.305,15.211,90,2.29,1,1,704,160.72,$10.50,"$58,214.00","$70,040.00",13.3,62.27,4.8,9.00%,3.60%,7.80%,82.00%,"$22,000","$10,100",39337785,253.8,0.73,9.6,13.9,2.98,59.9,29.26,1023,1503,458995.5,42.99,4.3,54.4,,111788,,2.28
California 2018,129972,40429,89543,32.96,11.042,16.016,600,15.21,1,1,714,160.72,$11.00,"$60,984.00","$70,490.00",12.8,62.28,4.3,8.90%,3.60%,7.50%,83.00%,"$22,500","$10,400",39437463,253.9,0.05,9.5,14.3,2.96,60.9,21.58,1175,1503,485424,42.99,4.4,55.1,,116411,,2.18
California 2019,151278,42846,108432,38.36,11.742,16.582,650,16.48,0,1,785,160.72,$12.00,"$64,219.00","$78,100.00",11.8,62.44,4.1,8.80%,3.60%,7.70%,84.00%,"$23,000","$10,700",39437610,253.6,-0.11,9.3,14.8,2.94,59.9,19.99,1093,,499917,,4.2,54.8,,109904,,
California 2020,161548,47888,113660,40.87,13.475,16.665,1100,27.83,0,1,878,160.72,$12.00,"$70,090.00","$77,650.00",11.5,60.85,10.1,8.70%,3.70%,7.00%,84.20%,"$23,500","$11,000",39527808,,,,,,58.3,25.95,896,,512000,,4,55.9,0.364743575,104554,,
California 2021,57468,51429,6039,14.68,15.473,17.844,2870,73.3,0,1,878,160.72,$13.00,"$77,113.00","$81,580.00",12.3,61.07,7.3,8.80%,3.70%,6.50%,84.50%,"$24,000","$11,300",39152927,251.9,,9.1,15.2,2.86,60.5,13.66,1206,1698,650000,32.2,4.3,54.2,0.3709825066,119558,0.7458775487,
California 2022,171521,56030,115491,43.84,17.535,18.424,2780,71.05,0,1,925,199.72,$14.00,"$77,230.00","$85,300.00",12.2,61.74,4.3,8.90%,3.70%,6.20%,84.80%,"$24,500","$11,600",39125347,250.5,-0.53,9.4,15.8,2.82,60.4,15.73,1149,1856,675833,32.3,3.9,55.3,0.3742426872,113094,0.807735546,
California 2023,181399,57976,123423,46.3,18.154,19.167,1400,35.73,0,1,1130,219.73,$15.50,"$81,231.00","$89,870.00",12,62.15,4.7,9.00%,3.70%,6.40%,85.00%,"$25,000","$11,900",39181667,250.1,-0.16,9.1,16.2,2.78,59.8,21.9,1202,1956,693500,32.5,4.4,55.8,0.3767458899,109707,0.8137819172,
California 2024,187084,63110,123974,47.53,19.291,20.007,100,2.54,0,1,1171,239.94,$16.00,"$86,378.00","$100,600.00",11.8,62.23,5.3,8.80%,3.70%,5.90%,85.50%,"$25,500","$12,200",39364774,253.1,1.2,9.2,16.5,2.79,58.5,23.76,866,2036,730208.5,32.8,4.8,55.3,0.378052977,100385,0.8158909251,
