RegionID,SizeRank,RegionName,RegionType,StateName,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31
9,0,California,state,,365667.0,353833.0,342167.0,330500.0,316667.0,300000.0,284667.0,268000.0,255333.0,238167.0,229167.0,222500.0,223000.0,225333.0,231333.0,240000.0,246667.0,250000.0,251667.0,254667.0,257000.0,253250.0,248583.0,247917.0,251667.0,261667.0,265000.0,268333.0,263333.0,261667.0,257000.0,254000.0,250667.0,245333.0,241667.0,239333.0,244333.0,246667.0,249000.0,249000.0,248500.0,246833.0,242500.0,240667.0,238667.0,236333.0,234667.0,238333.0,248333.0,258333.0,265000.0,270000.0,273333.0,276667.0,278333.0,283333.0,289667.0,289667.0,288000.0,294000.0,310667.0,330667.0,343333.0,353333.0,356667.0,356667.0,355000.0,355000.0,356333.0,351333.0,349667.0,352333.0,364000.0,375667.0,381667.0,386667.0,388000.0,388000.0,385333.0,383000.0,379667.0,373167.0,370833.0,375833.0,389000.0,399000.0,407333.0,410000.0,411333.0,406333.0,403000.0,402333.0,403333.0,401667.0,396000.0,397333.0,406567.0,419567.0,428233.0,430667.0,431000.0,428333.0,428000.0,426500.0,424417.0,419750.0,417250.0,423667.0,433667.0,446992.0,457658.0,463658.0,464333.0,461333.0,460333.0,462667.0,460667.0,456583.0,454250.0,462583.0,476667.0,489833.0,496500.0,499083.0,496765.0,491765.0,487515.0,483333.0,476667.0,465667.0,462333.0,469000.0,485000.0,496667.0,505000.0,505500.0,503833.0,500167.0,499667.0,501333.0,501667.0,497000.0,495333.0,500333.0,505000.0,501667.0,503333.0,519000.0,542333.0,559667.0,567333.0,572333.0,570333.0,567000.0,569667.0,586000.0,612667.0,635000.0,650000.0,655000.0,655000.0,651667.0,650000.0,652833.0,652833.0,647833.0,648333.0,665000.0,691667.0,713333.0,716667.0,709667.0,693000.0,681333.0,670333.0,664770.0,651437.0,639437.0,635000.0,646667.0,664667.0,681333.0,691333.0,698333.0,700000.0,699667.0,701333.0,703667.0,695667.0,679000.0,676667.0,691667.0,721667.0,738333.0,748333.0,748333.0,738750.0,730417.0,728750.0,731667.0,730000.0,715000.0,714667.0,721000.0,739333.0,744000.0,747667.0,742667.0,738333.0,731667.0,731667.0,731667.0,721667.0,705333.0,702000.0,715333.0,736667.0,751000.0
54,1,Texas,state,,140896.0,143679.0,147242.0,149342.0,149892.0,146100.0,141667.0,135667.0,133167.0,130167.0,131667.0,132512.0,136846.0,140846.0,146333.0,150333.0,150962.0,148629.0,144296.0,140897.0,138897.0,137397.0,137232.0,138232.0,141399.0,143667.0,146300.0,148833.0,150166.0,147533.0,143667.0,140683.0,141683.0,139983.0,139967.0,138133.0,140333.0,142667.0,146167.0,148967.0,149300.0,147133.0,143833.0,141133.0,140633.0,138933.0,138433.0,140444.0,145478.0,151844.0,156167.0,159292.0,158792.0,155958.0,152833.0,150833.0,150667.0,148408.0,148375.0,150208.0,157467.0,164167.0,170000.0,173333.0,173500.0,170656.0,166906.0,164406.0,164080.0,161663.0,162330.0,163833.0,169967.0,174967.0,179967.0,183233.0,183233.0,179933.0,175700.0,174033.0,175333.0,174667.0,174667.0,175167.0,180167.0,186279.0,192445.0,195745.0,195967.0,191336.0,187703.0,183536.0,184435.0,183101.0,183601.0,184333.0,189667.0,197250.0,203917.0,207583.0,207333.0,204000.0,201333.0,199667.0,200787.0,198900.0,198900.0,200113.0,206333.0,212667.0,218000.0,220333.0,220333.0,216667.0,213000.0,210000.0,209969.0,209070.0,210737.0,213268.0,218833.0,223833.0,227489.0,230156.0,228489.0,224833.0,220833.0,217833.0,217967.0,215300.0,215633.0,217333.0,224000.0,230481.0,235481.0,237814.0,237333.0,234000.0,231667.0,229000.0,230261.0,227928.0,228928.0,230333.0,235967.0,238633.0,242633.0,249333.0,256167.0,258500.0,258500.0,259000.0,260667.0,258167.0,260833.0,266500.0,278658.0,289325.0,299625.0,305467.0,307133.0,303833.0,302000.0,302667.0,306000.0,305667.0,308667.0,312333.0,325667.0,338167.0,347833.0,347833.0,340300.0,331967.0,325300.0,318250.0,311583.0,304583.0,304667.0,308000.0,316000.0,324083.0,331417.0,335083.0,332830.0,328330.0,322663.0,318500.0,315667.0,313333.0,316667.0,320667.0,329000.0,335667.0,340000.0,341667.0,336667.0,333333.0,328333.0,326667.0,325069.0,322069.0,322069.0,325333.0,330265.0,335265.0,339931.0,343000.0,341333.0,333333.0,329000.0,325667.0,324067.0,320067.0,319233.0,322500.0,329167.0,337667.0
14,2,Florida,state,,189883.0,190150.0,190333.0,187000.0,182000.0,173333.0,166667.0,158333.0,152500.0,144167.0,138667.0,133500.0,131833.0,131000.0,132500.0,134167.0,134667.0,132500.0,130500.0,129667.0,129000.0,126000.0,122667.0,121667.0,123667.0,125333.0,126167.0,124167.0,121167.0,117000.0,115667.0,115333.0,115667.0,112000.0,109333.0,107333.0,110700.0,115033.0,118847.0,120480.0,119808.0,117661.0,114995.0,114000.0,115000.0,115633.0,115633.0,116300.0,120333.0,124667.0,128000.0,128667.0,128333.0,127100.0,126100.0,127100.0,129083.0,130050.0,130050.0,131633.0,136333.0,141450.0,145783.0,148450.0,150000.0,149267.0,147600.0,145933.0,146333.0,145000.0,144333.0,144550.0,148050.0,152050.0,155500.0,158000.0,158333.0,157000.0,155667.0,155333.0,156633.0,155967.0,156242.0,157942.0,162608.0,169000.0,172333.0,174667.0,173000.0,171333.0,169853.0,169520.0,170520.0,171333.0,171667.0,173167.0,177167.0,183500.0,189333.0,191667.0,192000.0,190000.0,188000.0,186333.0,186667.0,186667.0,188000.0,189667.0,194667.0,200667.0,206333.0,209333.0,208967.0,206467.0,203467.0,202500.0,204000.0,205667.0,208000.0,210667.0,215667.0,219000.0,222333.0,223000.0,223000.0,220450.0,219117.0,219117.0,219333.0,218333.0,218333.0,220000.0,224800.0,229800.0,234633.0,236500.0,236467.0,234300.0,232633.0,232000.0,233667.0,235333.0,236667.0,239000.0,243000.0,245229.0,247896.0,253229.0,260333.0,264000.0,265667.0,267000.0,269333.0,270000.0,271667.0,274667.0,281333.0,289333.0,297333.0,302575.0,305075.0,306075.0,307500.0,311054.0,317054.0,322054.0,328167.0,336492.0,346492.0,356458.0,363050.0,364350.0,361217.0,354633.0,351667.0,348333.0,345000.0,341667.0,343333.0,350667.0,359000.0,365667.0,370000.0,371667.0,370833.0,366500.0,363167.0,362767.0,364433.0,366100.0,369000.0,375000.0,383333.0,388333.0,390000.0,386333.0,381333.0,376333.0,375333.0,375333.0,375333.0,375000.0,376667.0,378300.0,379967.0,379967.0,380000.0,376667.0,373333.0,370000.0,370000.0,370000.0,371667.0,371667.0,373333.0,376667.0,381667.0,385833.0
43,3,New York,state,,258333.0,247667.0,241000.0,239333.0,242235.0,242569.0,235902.0,230000.0,226333.0,228000.0,227189.0,222189.0,212689.0,205833.0,204167.0,208000.0,214333.0,219333.0,218333.0,225833.0,231400.0,247233.0,246733.0,259143.0,245976.0,235968.0,216825.0,235814.0,248822.0,239989.0,225833.0,220833.0,235833.0,243333.0,250000.0,251667.0,246667.0,236667.0,234000.0,236500.0,238167.0,237500.0,228131.0,221298.0,212964.0,218167.0,221667.0,229667.0,224667.0,223000.0,224167.0,232500.0,236903.0,239403.0,231070.0,228333.0,228333.0,237333.0,241667.0,240833.0,235167.0,234167.0,238333.0,248333.0,256333.0,258000.0,254460.0,247627.0,245627.0,249167.0,254667.0,251667.0,242667.0,236000.0,234333.0,237333.0,242667.0,243167.0,239500.0,232991.0,234158.0,243491.0,251000.0,253000.0,246633.0,240967.0,241300.0,243000.0,252333.0,253333.0,251667.0,244333.0,244333.0,248500.0,251500.0,253167.0,249667.0,243667.0,245333.0,252654.0,262988.0,262988.0,256667.0,253667.0,253667.0,262000.0,265000.0,265000.0,261333.0,258000.0,262167.0,269167.0,276833.0,276342.0,269009.0,263009.0,261000.0,267333.0,272333.0,280667.0,281333.0,281333.0,279667.0,286667.0,290750.0,288433.0,279100.0,276683.0,280000.0,288667.0,294667.0,293667.0,289333.0,284292.0,294292.0,300959.0,306667.0,299333.0,292667.0,287667.0,290833.0,302500.0,313833.0,318000.0,304667.0,297000.0,297000.0,304667.0,307667.0,307667.0,319333.0,331000.0,342667.0,355333.0,368667.0,382000.0,386667.0,386667.0,390000.0,393333.0,400000.0,400000.0,400000.0,400000.0,400000.0,408333.0,418333.0,430833.0,433417.0,435917.0,440083.0,443917.0,441417.0,423083.0,403917.0,393917.0,390583.0,403333.0,411667.0,423333.0,423333.0,425000.0,433333.0,438333.0,444667.0,438833.0,425500.0,412500.0,408333.0,422000.0,427000.0,432000.0,435000.0,445492.0,462159.0,468825.0,473333.0,463000.0,454667.0,441333.0,444667.0,458000.0,476333.0,481667.0,479333.0,481000.0,489333.0,500000.0,503333.0,495000.0,481666.0,470000.0,473333.0,483333.0,495000.0,503333.0,503500.0,505167.0
47,4,Pennsylvania,state,,141833.0,146000.0,150333.0,155333.0,157500.0,155000.0,149000.0,141500.0,137000.0,134667.0,134333.0,135967.0,137633.0,141967.0,147667.0,152667.0,155000.0,151000.0,147000.0,144333.0,141300.0,138633.0,135300.0,136667.0,140000.0,144500.0,149500.0,149800.0,149950.0,144917.0,142883.0,139567.0,138600.0,136450.0,133450.0,131117.0,131667.0,136000.0,143833.0,148800.0,149467.0,144133.0,139133.0,135800.0,134967.0,134333.0,132242.0,132325.0,136325.0,142583.0,150500.0,153833.0,154667.0,149333.0,144000.0,141000.0,139300.0,137800.0,134100.0,134467.0,137967.0,145333.0,153667.0,159333.0,159833.0,153500.0,146667.0,141333.0,139667.0,137167.0,135449.0,134282.0,136282.0,142167.0,150000.0,156633.0,159300.0,154633.0,149633.0,144633.0,144300.0,141667.0,139000.0,138167.0,141583.0,148250.0,157083.0,162167.0,163833.0,158333.0,152917.0,147583.0,145083.0,143667.0,140833.0,139500.0,142667.0,150833.0,160500.0,166167.0,167400.0,163233.0,158400.0,154200.0,151700.0,148500.0,144767.0,144767.0,149425.0,157792.0,167125.0,172667.0,174300.0,169133.0,164133.0,160833.0,160000.0,158883.0,156111.0,157778.0,160561.0,168333.0,175667.0,180667.0,181800.0,176133.0,171133.0,168000.0,166333.0,164633.0,161633.0,161758.0,165792.0,172458.0,183967.0,189967.0,192967.0,186300.0,181267.0,177933.0,177133.0,175500.0,172500.0,175000.0,186633.0,194633.0,199600.0,200300.0,205300.0,207000.0,204667.0,203333.0,201667.0,200300.0,196300.0,197633.0,202333.0,211833.0,223800.0,232633.0,238767.0,235467.0,231633.0,226667.0,225000.0,221667.0,217167.0,216017.0,221017.0,231850.0,244300.0,250967.0,251300.0,243333.0,236667.0,230667.0,225667.0,219000.0,215000.0,216667.0,225000.0,235000.0,248333.0,256000.0,260000.0,251667.0,245667.0,240000.0,238667.0,235333.0,232000.0,234867.0,241533.0,253200.0,265000.0,273333.0,276000.0,269983.0,264983.0,261692.0,261042.0,257708.0,254533.0,254533.0,261167.0,269967.0,282242.0,288942.0,292275.0,285000.0,278333.0,273333.0,271333.0,269167.0,264167.0,266167.0,273000.0,284667.0
21,5,Illinois,state,,172333.0,175000.0,178333.0,181000.0,182000.0,176000.0,169000.0,161333.0,155167.0,149500.0,144500.0,143583.0,143250.0,147083.0,151800.0,157800.0,160633.0,158333.0,153750.0,149083.0,146750.0,145667.0,142667.0,142333.0,144000.0,150000.0,156633.0,158300.0,156633.0,148333.0,143333.0,140000.0,139000.0,137333.0,133667.0,131167.0,131167.0,133867.0,139700.0,144200.0,146500.0,141667.0,134667.0,128500.0,125167.0,122667.0,119167.0,121333.0,126333.0,135667.0,142667.0,145900.0,144733.0,138067.0,131500.0,127500.0,125000.0,123333.0,119833.0,121667.0,126667.0,136333.0,147000.0,153667.0,156333.0,152000.0,148667.0,143667.0,142333.0,139000.0,136000.0,136333.0,141233.0,151233.0,161039.0,167347.0,169314.0,163842.0,158967.0,153667.0,150667.0,147667.0,144667.0,147000.0,152000.0,161833.0,170500.0,177167.0,177667.0,172300.0,165633.0,159967.0,156333.0,153683.0,151683.0,154183.0,161833.0,172500.0,181333.0,184448.0,184114.0,177281.0,171417.0,166417.0,164750.0,162500.0,159833.0,164000.0,172000.0,183000.0,191333.0,194000.0,192333.0,184500.0,178833.0,175500.0,173667.0,172667.0,172500.0,177167.0,185167.0,193333.0,201333.0,201833.0,198500.0,190167.0,183333.0,179833.0,176833.0,176167.0,175000.0,179667.0,187333.0,197333.0,204333.0,205667.0,203333.0,196000.0,190333.0,186000.0,184833.0,182500.0,182333.0,189167.0,202167.0,209000.0,210333.0,211333.0,217000.0,220667.0,220667.0,219000.0,217333.0,214333.0,212000.0,214333.0,220667.0,229167.0,236833.0,240167.0,240000.0,234667.0,229667.0,226333.0,223667.0,222000.0,220333.0,224218.0,232218.0,241551.0,249667.0,250167.0,245167.0,234500.0,226500.0,221333.0,216333.0,210833.0,207208.0,212875.0,225542.0,239667.0,250667.0,253333.0,253167.0,246167.0,240833.0,234667.0,231667.0,228333.0,228333.0,234667.0,246000.0,257667.0,267000.0,271500.0,270833.0,263833.0,258000.0,254333.0,252333.0,250333.0,248000.0,249667.0,257333.0,269000.0,280667.0,285000.0,285559.0,278807.0,273807.0,268248.0,265167.0,260167.0,256833.0,263333.0,275000.0,290000.0
44,6,Ohio,state,,102333.0,106633.0,110500.0,112500.0,111800.0,107933.0,102600.0,94000.0,87833.0,82183.0,80667.0,81833.0,86817.0,93333.0,99667.0,104667.0,106667.0,106333.0,104833.0,103333.0,98467.0,92633.0,89550.0,91417.0,97717.0,103633.0,108267.0,105100.0,101350.0,96383.0,96250.0,93333.0,91667.0,87806.0,84472.0,82472.0,84500.0,90083.0,96750.0,100583.0,101667.0,98667.0,95000.0,91667.0,88667.0,85400.0,83083.0,84417.0,91017.0,98000.0,105333.0,109833.0,112000.0,109667.0,105317.0,102467.0,99633.0,96150.0,91667.0,92467.0,95633.0,104300.0,111558.0,118392.0,118225.0,114500.0,107833.0,103167.0,99000.0,97333.0,95667.0,98167.0,103167.0,110667.0,117500.0,122467.0,123300.0,120300.0,116000.0,112667.0,109667.0,104300.0,101967.0,102967.0,109333.0,116967.0,123300.0,127633.0,127333.0,124333.0,120142.0,115142.0,112475.0,109167.0,109167.0,111000.0,117167.0,123333.0,129000.0,131500.0,131333.0,128167.0,125625.0,122992.0,120492.0,117200.0,115500.0,117300.0,121967.0,127633.0,133300.0,136267.0,137267.0,134300.0,132633.0,131633.0,130300.0,127333.0,126000.0,127000.0,131500.0,135500.0,141333.0,144167.0,144350.0,141817.0,138483.0,136633.0,133667.0,130333.0,128667.0,129967.0,134967.0,141633.0,148500.0,152000.0,151667.0,147167.0,143667.0,140333.0,138000.0,134917.0,134583.0,139083.0,146167.0,153167.0,157000.0,161300.0,162950.0,163950.0,162983.0,161667.0,159000.0,155000.0,151000.0,151000.0,156000.0,164000.0,172333.0,177333.0,180000.0,178333.0,176667.0,174850.0,172517.0,168350.0,165167.0,165833.0,171667.0,180667.0,190667.0,195667.0,195000.0,190000.0,185000.0,179000.0,174000.0,169000.0,168333.0,170067.0,178400.0,188067.0,199333.0,205667.0,207667.0,203000.0,197500.0,192167.0,188167.0,183967.0,184267.0,188433.0,195133.0,205000.0,214833.0,221500.0,221333.0,218000.0,214667.0,211667.0,208333.0,203333.0,201667.0,203333.0,211667.0,220667.0,229833.0,234833.0,234167.0,230000.0,226667.0,223333.0,220833.0,214500.0,212833.0,216333.0,226000.0,237667.0
16,7,Georgia,state,,139000.0,141667.0,143833.0,144500.0,142333.0,136833.0,131467.0,124133.0,120767.0,118133.0,117967.0,117000.0,117333.0,120333.0,124667.0,128650.0,128983.0,127500.0,125517.0,125183.0,122667.0,119992.0,116658.0,116492.0,118500.0,121833.0,123667.0,122667.0,119300.0,116600.0,113933.0,112300.0,110667.0,107967.0,104300.0,102633.0,103000.0,105000.0,106500.0,106500.0,104833.0,99667.0,95000.0,92746.0,91746.0,89746.0,87000.0,88667.0,93667.0,101000.0,104667.0,107967.0,107633.0,105967.0,102667.0,102333.0,105262.0,105262.0,106095.0,108683.0,116655.0,125322.0,131805.0,137167.0,137000.0,133333.0,128833.0,124500.0,125167.0,123000.0,124028.0,124328.0,130962.0,139267.0,145967.0,149667.0,148667.0,146333.0,142333.0,139667.0,139000.0,136500.0,137467.0,140433.0,148267.0,156617.0,161984.0,165284.0,162967.0,159267.0,154633.0,151967.0,150967.0,149800.0,149467.0,151167.0,156950.0,164617.0,169617.0,173000.0,170667.0,167333.0,163167.0,162833.0,162167.0,160667.0,159167.0,162167.0,167833.0,174000.0,178667.0,182000.0,181183.0,178517.0,175183.0,174167.0,175167.0,173500.0,174833.0,177167.0,184667.0,191800.0,196800.0,199300.0,194667.0,192000.0,188000.0,189167.0,186833.0,184167.0,183333.0,186667.0,193333.0,201983.0,208650.0,213083.0,211100.0,206989.0,202556.0,200856.0,201633.0,199967.0,201167.0,205833.0,214833.0,218984.0,220984.0,225534.0,231883.0,235217.0,235667.0,236000.0,236000.0,233667.0,233300.0,236967.0,246550.0,255583.0,265250.0,271000.0,275333.0,275333.0,275833.0,278833.0,280500.0,279667.0,280000.0,285450.0,296117.0,306117.0,313000.0,313333.0,308333.0,302633.0,296967.0,293633.0,287833.0,282500.0,283667.0,289167.0,299167.0,307667.0,316333.0,321333.0,320333.0,317000.0,311733.0,308067.0,302067.0,299368.0,301035.0,308702.0,318333.0,326667.0,332500.0,335500.0,332400.0,328233.0,323567.0,321667.0,320000.0,316333.0,314869.0,316869.0,325102.0,332233.0,340200.0,342300.0,339967.0,330083.0,323417.0,323417.0,323333.0,320000.0,318250.0,321583.0,333250.0,342929.0
36,8,North Carolina,state,,145000.0,148000.0,151667.0,154117.0,153450.0,148117.0,144967.0,139633.0,137300.0,134667.0,136667.0,139333.0,141333.0,144667.0,148667.0,153000.0,153000.0,149667.0,146500.0,144000.0,140667.0,140000.0,137833.0,140167.0,141333.0,146000.0,150333.0,152583.0,151750.0,148417.0,144500.0,142000.0,140000.0,138000.0,135667.0,135000.0,137000.0,141067.0,145400.0,147567.0,148167.0,144167.0,140333.0,136000.0,134500.0,132833.0,132167.0,134333.0,139000.0,145000.0,149917.0,151917.0,151583.0,147333.0,144000.0,141000.0,140333.0,138333.0,136667.0,137833.0,142500.0,149167.0,154667.0,158000.0,158000.0,153333.0,148667.0,144667.0,144000.0,142333.0,141333.0,142500.0,145833.0,152833.0,158500.0,162167.0,161667.0,158500.0,154833.0,151667.0,150000.0,150000.0,150000.0,152667.0,157167.0,165000.0,170667.0,172833.0,170833.0,167083.0,163750.0,161250.0,160000.0,160000.0,158333.0,159833.0,163583.0,170583.0,177417.0,180333.0,181667.0,177667.0,175667.0,172667.0,171333.0,168333.0,166333.0,169967.0,175967.0,182633.0,187667.0,191000.0,191000.0,186333.0,182000.0,181333.0,181000.0,180583.0,179583.0,183583.0,189000.0,195333.0,199667.0,201333.0,200333.0,197000.0,193667.0,191667.0,190000.0,188000.0,186333.0,189333.0,196833.0,206167.0,213167.0,217000.0,216000.0,213000.0,209667.0,209667.0,210667.0,207667.0,207667.0,209333.0,218000.0,220333.0,225000.0,230667.0,240000.0,242667.0,243229.0,243229.0,242895.0,241333.0,239667.0,243000.0,250000.0,260000.0,269667.0,275667.0,278656.0,278656.0,279323.0,281333.0,283667.0,283667.0,281667.0,284667.0,296008.0,310342.0,320342.0,322333.0,318334.0,311667.0,305000.0,300000.0,295000.0,288333.0,286667.0,290000.0,300000.0,310000.0,319667.0,324667.0,323000.0,316667.0,311667.0,309667.0,306333.0,303000.0,303333.0,311667.0,322000.0,332000.0,340333.0,343333.0,343333.0,336833.0,333500.0,329833.0,329667.0,325833.0,324500.0,327833.0,337333.0,345667.0,352333.0,353333.0,353333.0,348000.0,345333.0,345000.0,343333.0,337667.0,332500.0,334500.0,344500.0,354000.0
30,9,Michigan,state,,99300.0,100300.0,102500.0,104367.0,104700.0,100867.0,94333.0,87000.0,81333.0,76000.0,72333.0,69333.0,68573.0,69807.0,73140.0,77367.0,79967.0,80933.0,81433.0,82933.0,82267.0,79967.0,74967.0,74000.0,76667.0,81667.0,84333.0,83333.0,81667.0,79333.0,78177.0,76843.0,76843.0,74733.0,71733.0,68817.0,69417.0,72750.0,77000.0,80667.0,82833.0,82500.0,80833.0,78833.0,76900.0,74900.0,71733.0,72000.0,74667.0,80333.0,85500.0,89833.0,93000.0,92333.0,91333.0,89800.0,89300.0,86803.0,84170.0,85382.0,90479.0,98479.0,105767.0,112500.0,116133.0,115483.0,112483.0,108517.0,106728.0,103037.0,99704.0,99143.0,103167.0,111833.0,120300.0,126800.0,129800.0,128167.0,125000.0,120500.0,117167.0,113833.0,111333.0,112700.0,118000.0,126539.0,132839.0,137039.0,137167.0,135333.0,130958.0,127625.0,125125.0,124000.0,122000.0,122300.0,125967.0,132967.0,139333.0,143000.0,143667.0,142000.0,140633.0,138346.0,136512.0,132879.0,129600.0,129100.0,134400.0,142600.0,149900.0,151667.0,151700.0,149733.0,148300.0,146600.0,145267.0,142633.0,140333.0,140333.0,144667.0,152000.0,157667.0,161667.0,161633.0,158967.0,155300.0,152000.0,150633.0,147300.0,145633.0,145667.0,151333.0,159667.0,166333.0,170000.0,170000.0,169333.0,166667.0,164000.0,161333.0,158667.0,156333.0,159300.0,166300.0,170467.0,175467.0,180467.0,186933.0,188967.0,187300.0,186667.0,183333.0,178333.0,173333.0,173333.0,180833.0,191500.0,200500.0,206333.0,207500.0,208467.0,205467.0,203633.0,199300.0,193967.0,190633.0,191633.0,201633.0,213300.0,225000.0,230000.0,230000.0,225000.0,219167.0,212500.0,205800.0,196633.0,194967.0,197750.0,209417.0,221083.0,231667.0,238000.0,238008.0,234675.0,230008.0,225000.0,219333.0,211000.0,209333.0,213333.0,225000.0,236667.0,246667.0,253333.0,253333.0,250333.0,245563.0,243063.0,237729.0,231667.0,227467.0,229133.0,236633.0,246667.0,258333.0,266667.0,268333.0,265667.0,259167.0,254167.0,249500.0,242667.0,239300.0,239967.0,250383.0,265383.0
